Template Events
Identifier 	Prosilver Placement (If applicable) 	Subsilver Placement (If applicable) 	Added in Release 	Explanation
mcp_ban_fields_after 	mcp_ban.html 	mcp_ban.html 	3.1.0-RC3 	Add additional fields to the ban form in MCP
mcp_ban_fields_before 	mcp_ban.html 	mcp_ban.html 	3.1.0-RC3 	Add additional fields to the ban form in MCP
mcp_ban_unban_after 	mcp_ban.html 	mcp_ban.html 	3.1.0-RC3 	Add additional fields to the unban form in MCP
mcp_ban_unban_before 	mcp_ban.html 	mcp_ban.html 	3.1.0-RC3 	Add additional fields to the unban form in MCP
mcp_warn_post_add_warning_field_after 	mcp_warn_post.html 	mcp_warn_post.html 	3.1.0-RC4 	Add content during warning for a post - after add warning field.
mcp_warn_post_add_warning_field_before 	mcp_warn_post.html 	mcp_warn_post.html 	3.1.0-RC4 	Add content during warning for a post - before add warning field.
mcp_warn_user_add_warning_field_after 	mcp_warn_user.html 	mcp_warn_user.html 	3.1.0-RC4 	Add content during warning a user - after add warning field.
mcp_warn_user_add_warning_field_before 	mcp_warn_user.html 	mcp_warn_user.html 	3.1.0-RC4 	Add content during warning a user - before add warning field.
ucp_pm_viewmessage_avatar_after 	ucp_pm_viewmessage.html 		3.1.0-RC3 	Add content right after the avatar when viewing a private message
ucp_pm_viewmessage_avatar_before 	ucp_pm_viewmessage.html 		3.1.0-RC3 	Add content right before the avatar when viewing a private message
ucp_pm_viewmessage_contact_fields_after 	ucp_pm_viewmessage.html 		3.1.0-b1 	Add data after the contact fields on the user profile when viewing a private message
ucp_pm_viewmessage_contact_fields_before 	ucp_pm_viewmessage.html 		3.1.0-b1 	Add data before the contact fields on the user profile when viewing a private message
ucp_pm_viewmessage_custom_fields_after 	ucp_pm_viewmessage.html 		3.1.0-a1 	Add data after the custom fields on the user profile when viewing a private message
ucp_pm_viewmessage_custom_fields_before 	ucp_pm_viewmessage.html 		3.1.0-a1 	Add data before the custom fields on the user profile when viewing a private message
ucp_pm_viewmessage_post_buttons_after 	ucp_pm_viewmessage.html 	ucp_pm_viewmessage.html 	3.1.0-RC3 	Add post button to private messages (next to edit, quote etc), at the end of the list.
ucp_pm_viewmessage_post_buttons_before 	ucp_pm_viewmessage.html 	ucp_pm_viewmessage.html 	3.1.0-RC3 	Add post button to private messages (next to edit, quote etc), at the start of the list.
ucp_pm_viewmessage_print_head_append 	ucp_pm_viewmessage_print.html 	ucp_pm_viewmessage_print.html 	3.1.0-a1 	Add asset calls directly before the `</head>` tag of the Print PM screen
ucp_prefs_personal_prepend 	ucp_prefs_personal.html 	ucp_prefs_personal.html 	3.1.0-a1 	Add user options to the top of the Edit Global Settings block
ucp_prefs_personal_append 	ucp_prefs_personal.html 	ucp_prefs_personal.html 	3.1.0-a1 	Add user options to the bottom of the Edit Global Settings block
ucp_prefs_post_prepend 	ucp_prefs_post.html 	ucp_prefs_post.html 	3.1.0-a1 	Add user options to the top of the Edit Posting Defaults block
ucp_prefs_post_append 	ucp_prefs_post.html 	ucp_prefs_post.html 	3.1.0-a1 	Add user options to the bottom of the Edit Posting Defaults block
ucp_prefs_view_radio_buttons_prepend 	ucp_prefs_view.html 	ucp_prefs_view.html 	3.1.0-a1 	Add options to the top of the radio buttons block of the Edit Display Options screen
ucp_prefs_view_radio_buttons_append 	ucp_prefs_view.html 	ucp_prefs_view.html 	3.1.0-a1 	Add options to the bottom of the radio buttons block of the Edit Display Options screen
ucp_prefs_view_select_menu_prepend 	ucp_prefs_view.html 	ucp_prefs_view.html 	3.1.0-a1 	Add options to the top of the drop-down lists block of the Edit Display Options screen
ucp_prefs_view_select_menu_append 	ucp_prefs_view.html 	ucp_prefs_view.html 	3.1.0-a1 	Add options to the bottom of the drop-down lists block of the Edit Display Options screen
